IP地址	端口	TLS	数据中心	地区	城市	网络延迟	下载速度
8.219.66.156	2053	TRUE	NRT	Asia Pacific	Tokyo	279 ms	5771 kB/s
8.219.147.58	2096	TRUE	SIN	Asia Pacific	Singapore	216 ms	5763 kB/s
47.236.80.110	2087	TRUE	SIN	Asia Pacific	Singapore	212 ms	5739 kB/s
8.210.107.246	2053	TRUE	HKG	Asia Pacific	Hong Kong	68 ms	5738 kB/s
47.236.254.120	2053	TRUE	SIN	Asia Pacific	Singapore	217 ms	5716 kB/s
47.242.17.250	2053	TRUE	HKG	Asia Pacific	Hong Kong	101 ms	5691 kB/s
8.222.137.192	2096	TRUE	SIN	Asia Pacific	Singapore	216 ms	5688 kB/s
47.236.80.110	2083	TRUE	SIN	Asia Pacific	Singapore	216 ms	5675 kB/s
8.219.248.47	2083	TRUE	SIN	Asia Pacific	Singapore	211 ms	5673 kB/s
8.217.159.210	2083	TRUE	HKG	Asia Pacific	Hong Kong	99 ms	5671 kB/s
8.219.174.213	2053	TRUE	SIN	Asia Pacific	Singapore	219 ms	5670 kB/s
8.219.106.156	2087	TRUE	SIN	Asia Pacific	Singapore	241 ms	5663 kB/s
47.237.83.20	2087	TRUE	SIN	Asia Pacific	Singapore	220 ms	5647 kB/s
47.237.14.220	2096	TRUE	SIN	Asia Pacific	Singapore	224 ms	5641 kB/s
8.210.34.188	2087	TRUE	HKG	Asia Pacific	Hong Kong	66 ms	5631 kB/s
47.236.180.24	2087	TRUE	SIN	Asia Pacific	Singapore	216 ms	5627 kB/s
8.217.248.220	2087	TRUE	HKG	Asia Pacific	Hong Kong	60 ms	5624 kB/s
8.210.207.214	2053	TRUE	HKG	Asia Pacific	Hong Kong	69 ms	5605 kB/s
